DEPTH	GR	FACES	FACES2
4225.0342	128.007	Ps10	
4225.1104	131.838	Ps10	
4225.1866	133.663	Ps10	
4225.2628	133.136	Ps10	
4225.339	130.256	Ps10	
4225.4152	125.328	Ps10	
4225.4914	118.919	Ps10	
4225.5676	111.761	Ps10	
4225.6438	104.591	Ps10	
4225.72	98.043	Ps10	
4225.7962	92.424	Ps10	
4225.8724	87.703	Ps10	
4225.9486	83.62	Ps10	
4226.0248	79.881	Ps10	
4226.101	76.419	Ps10	
4226.1772	73.384	Ps10	
4226.2534	70.856	Ps10	
4226.3296	68.817	Ps10	
4226.4058	67.369	Ps10	
4226.482	66.729	Ps10	
4226.5582	67.203	Ps10	
4226.6344	69.301	Ps10	
4226.7106	73.573	Ps10	
4226.7868	80.369	Ps10	
4226.863	89.622	Ps10	
4226.9392	100.425	Ps10	
4227.0154	110.965	Ps10	
4227.0916	119.058	Ps10	
4227.1678	122.781	Ps10	
4227.244	121.27	Ps10	
4227.3202	115.151	Ps10	
4227.3964	106.351	Ps10	
4227.4726	97.244	Ps10	
4227.5488	89.649	Ps10	
4227.625	84.281	Ps10	
4227.7012	80.982	Ps10	
4227.7774	79.272	Ps10	
4227.8536	78.761	Ps10	
4227.9298	79.183	Ps10	
4228.006	80.284	Ps10	
4228.0822	81.787	Ps10	
4228.1584	83.45	Ps10	
4228.2346	85.093	Ps10	
4228.3108	86.57	Ps10	
4228.387	88.011	Ps10	
4228.4632	89.751	Ps10	
4228.5394	92.087	Ps10	
4228.6156	95.101	Ps10	
4228.6918	98.432	Ps10	
4228.768	101.345	Ps10	
4228.8442	103.196	Ps10	
4228.9204	103.808	Ps10	
4228.9966	103.496	Ps10	
4229.0728	102.879	Ps10	
4229.149	102.466	Ps10	
4229.2252	102.18	Ps10	
4229.3014	101.38	Ps10	
4229.3776	99.376	Ps10	
4229.4538	95.736	Ps10	
4229.53	90.561	Ps10	
4229.6062	84.511	Ps10	
4229.6824	78.383	Ps10	
4229.7586	72.723	Ps10	
4229.8348	67.826	Ps10	
4229.911	63.905	Ps10	
4229.9872	61.122	Ps10	
4230.0634	59.536	Ps10	
4230.1396	59.241	Ps10	
4230.2158	60.334	Ps10	
4230.292	62.741	Ps10	
4230.3682	66.27	Ps10	
4230.4444	70.633	Ps10	
4230.5206	75.448	Ps10	
4230.5968	80.281	Ps10	
4230.673	84.817	Ps10	
4230.7492	89.062	Ps10	
4230.8254	93.324	Ps10	
4230.9016	98.174	Ps10	
4230.9778	104.104	Ps10	
4231.054	110.93	Ps10	
4231.1302	117.848	Ps10	
4231.2064	123.76	Ps10	
4231.2826	127.63	Ps10	
4231.3588	128.952	Ps10	
4231.435	128.079	Ps10	
4231.5112	125.927	Ps10	
4231.5874	123.346	Ps10	
4231.6636	120.761	Ps10	
4231.7398	117.924	Ps10	
4231.816	114.202	Ps10	
4231.8922	109.273	Ps10	
4231.9684	103.418	Ps10	
4232.0446	97.259	Ps10	
4232.1208	91.569	Ps10	
4232.197	87.03	Ps10	
4232.2732	83.932	Ps10	
4232.3494	82.061	Ps10	
4232.4256	80.886	Ps10	
4232.5018	79.82	Ps10	
4232.578	78.607	Ps10	
4232.6542	77.288	Ps10	
4232.7304	76.163	Ps10	
4232.8066	75.77	Ps10	
4232.8828	76.746	Ps10	
4232.959	79.49	Ps10	
4233.0352	83.736	Ps10	
4233.1114	88.506	Ps10	
4233.1876	92.559	Ps10	
4233.2638	94.844	Ps10	
4233.34	94.96	Ps10	
4233.4162	93.275	Ps10	
4233.4924	90.772	Ps10	
4233.5686	88.658	Ps10	
4233.6448	87.868	Ps10	
4233.721	88.732	Ps10	
4233.7972	91.003	Ps10	
4233.8734	94.217	Ps10	
4233.9496	97.774	Ps10	
4234.0258	100.917	Ps10	
4234.102	102.963	Ps10	
4234.1782	103.548	Ps10	
4234.2544	102.621	Ps10	
4234.3306	100.442	Ps10	
4234.4068	97.58	Ps10	
4234.483	94.589	Ps10	
4234.5592	91.646	Ps10	
4234.6354	88.481	Ps10	
4234.7116	84.558	Ps10	
4234.7878	79.613	Ps10	
4234.864	73.977	Ps10	
4234.9402	68.427	Ps10	
4235.0164	63.823	Ps10	
4235.0926	60.808	Ps10	
4235.1688	59.589	Ps10	
4235.245	59.679	Ps10	
4235.3212	60.222	Ps10	
4235.3974	60.571	Ps10	
4235.4736	60.507	Ps10	
4235.5498	60.195	Ps10	
4235.626	60.14	Ps10	
4235.7022	60.943	Ps10	
4235.7784	63.22	Ps10	
4235.8546	67.439	Ps10	
4235.9308	73.68	Ps10	
4236.007	81.428	Ps10	
4236.0832	89.524	Ps10	
4236.1594	96.304	Ps10	
4236.2356	100.231	Ps10	
4236.3118	100.598	Ps10	
4236.388	97.875	Ps10	
4236.4642	93.437	Ps10	
4236.5404	88.894	Ps10	
4236.6166	85.306	Ps10	
4236.6928	82.898	Ps10	
4236.769	81.255	Ps10	
4236.8452	79.674	Ps10	
4236.9214	77.711	Ps10	
4236.9976	75.419	Ps10	
4237.0738	73.126	Ps10	
4237.15	71.186	Ps10	
4237.2262	70.016	Ps10	
4237.3024	70.101	Ps10	
4237.3786	71.958	Ps9	
4237.4548	75.835	Ps9	
4237.531	81.462	Ps9	
4237.6072	88.043	Ps9	
4237.6834	94.59	Ps9	
4237.7596	100.362	Ps9	
4237.8358	105.035	Ps9	
4237.912	108.606	Ps9	
4237.9882	111.217	Ps9	
4238.0644	112.901	Ps9	
4238.1406	113.515	Ps9	
4238.2168	112.883	Ps9	
4238.293	111.102	Ps9	
4238.3692	108.638	Ps9	
4238.4454	106.03	Ps9	
4238.5216	103.678	Ps9	
4238.5978	101.652	Ps9	
4238.674	99.71	Ps9	
4238.7502	97.595	Ps9	
4238.8264	95.179	Ps9	
4238.9026	92.405	Ps9	
4238.9788	89.422	Ps9	
4239.055	86.581	Ps9	
4239.1312	84.28	Ps9	
4239.2074	82.881	Ps9	
4239.2836	82.614	Ps9	
4239.3598	83.382	Ps9	
4239.436	84.705	Ps9	
4239.5122	86.046	Ps9	
4239.5884	87.021	Ps9	
4239.6646	87.382	Ps9	
4239.7408	87.123	Ps9	
4239.817	86.418	Ps9	
4239.8932	85.487	Ps9	
4239.9694	84.585	Ps9	
4240.0456	83.907	Ps9	
4240.1218	83.574	Ps9	
4240.198	83.771	Ps9	
4240.2742	84.605	Ps9	
4240.3504	85.927	Ps9	
4240.4266	87.403	Ps9	
4240.5028	88.738	Ps9	
4240.579	89.66	Ps9	
4240.6552	90.03	Ps9	
4240.7314	90.028	Ps9	
4240.8076	90.076	Ps9	
4240.8838	90.546	Ps9	
4240.96	91.584	Ps9	
4241.0362	93.018	Ps9	
4241.1124	94.482	Ps9	
4241.1886	95.66	Ps9	
4241.2648	96.464	Ps9	
4241.341	96.997	Ps9	
4241.4172	97.446	Ps9	
4241.4934	97.768	Ps9	
4241.5696	97.619	Ps9	
4241.6458	96.69	Ps9	
4241.722	94.998	Ps9	
4241.7982	92.864	Ps9	
4241.8744	90.691	Ps9	
4241.9506	88.832	Ps9	
4242.0268	87.578	Ps9	
4242.103	86.986	Ps9	
4242.1792	86.823	Ps9	
4242.2554	86.726	Ps9	
4242.3316	86.392	Ps9	
4242.4078	85.559	Ps9	
4242.484	83.961	Ps9	
4242.5602	81.644	Ps9	
4242.6364	79.037	Ps9	
4242.7126	76.738	Ps9	
4242.7888	75.154	Ps9	
4242.865	74.255	Ps9	
4242.9412	73.519	Ps9	
4243.0174	72.269	Ps9	
4243.0936	70.114	Ps9	
4243.1698	67.19	Ps9	
4243.246	64.064	Ps9	
4243.3222	61.555	Ps9	
4243.3984	60.294	Ps9	
4243.4746	60.376	Ps9	
4243.5508	61.413	Ps9	
4243.627	62.803	Ps9	
4243.7032	63.943	Ps9	
4243.7794	64.584	Ps9	
4243.8556	64.933	Ps9	
4243.9318	65.343	Ps9	
4244.008	66.062	Ps9	
4244.0842	67.082	Ps9	
4244.1604	68.007	Ps9	
4244.2366	68.237	Ps9	
4244.3128	67.456	Ps9	
4244.389	65.816	Ps9	
4244.4652	63.834	Ps9	
4244.5414	62.215	Ps9	
4244.6176	61.67	Ps9	
4244.6938	62.751	Ps9	
4244.77	65.764	Ps9	
4244.8462	70.835	Ps9	
4244.9224	78.065	Ps9	
4244.9986	87.426	Ps9	
4245.0748	98.469	Ps9	
4245.151	110.118	Ps9	
4245.2272	120.917	Ps9	
4245.3034	129.418	Ps9	
4245.3796	134.693	Ps9	
4245.4558	136.523	Ps9	
4245.532	135.274	Ps9	
4245.6082	131.735	Ps9	
4245.6844	126.826	Ps9	
4245.7606	121.212	Ps9	
4245.8368	115.347	Ps8	
4245.913	109.713	Ps8	
4245.9892	104.896	Ps8	
4246.0654	101.48	Ps8	
4246.1416	99.921	Ps8	
4246.2178	100.221	Ps8	
4246.294	101.838	Ps8	
4246.3702	103.987	Ps8	
4246.4464	105.768	Ps8	
4246.5226	106.259	Ps8	
4246.5988	104.972	Ps8	
4246.675	102.207	Ps8	
4246.7512	98.806	Ps8	
4246.8274	95.717	Ps8	
4246.9036	93.561	Ps8	
4246.9798	92.419	Ps8	
4247.056	92.052	Ps8	
4247.1322	92.201	Ps8	
4247.2084	92.652	Ps8	
4247.2846	93.27	Ps8	
4247.3608	94.009	Ps8	
4247.437	94.778	Ps8	
4247.5132	95.286	Ps8	
4247.5894	95.201	Ps8	
4247.6656	94.282	Ps8	
4247.7418	92.543	Ps8	
4247.818	90.252	Ps8	
4247.8942	87.783	Ps8	
4247.9704	85.56	Ps8	
4248.0466	83.91	Ps8	
4248.1228	82.92	Ps8	
4248.199	82.391	Ps8	
4248.2752	81.949	Ps8	
4248.3514	81.24	Ps8	
4248.4276	80.045	Ps8	
4248.5038	78.407	Ps8	
4248.58	76.616	Ps8	
4248.6562	75.191	Ps8	
4248.7324	74.916	Ps8	
4248.8086	76.61	Ps8	
4248.8848	80.742	Ps8	
4248.961	87.12	Ps8	
4249.0372	94.953	Ps8	
4249.1134	102.952	Ps8	
4249.1896	109.708	Ps8	
4249.2658	114.294	Ps8	
4249.342	116.521	Ps8	
4249.4182	116.766	Ps8	
4249.4944	115.666	Ps8	
4249.5706	113.73	Ps8	
4249.6468	111.139	Ps8	
4249.723	107.765	Ps8	
4249.7992	103.41	Ps8	
4249.8754	97.99	Ps8	
4249.9516	91.676	Ps8	
4250.0278	84.874	Ps8	
4250.104	78.126	Ps8	
4250.1802	72.062	Ps8	
4250.2564	67.346	Ps8	
4250.3326	64.587	Ps8	
4250.4088	64.124	Ps8	
4250.485	65.806	Ps8	
4250.5612	68.946	Ps8	
4250.6374	72.415	Ps8	
4250.7136	74.953	Ps8	
4250.7898	75.745	Ps8	
4250.866	74.761	Ps8	
4250.9422	72.725	Ps8	
4251.0184	70.848	Ps8	
